index,disease_name,description,Possible Steps,image_url
167,Forsythia : Healthy,"Forsythias need well-drained soil, full sun, and regular pruning after flowering.","Forsythias produce yellow spring flowers.
They're early bloomers.
They attract pollinators.
They're versatile in landscaping.
They make great hedges.
They're cold hardy.
They're easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/forsythia-plant.jpg
168,Weigela : Anthracnose,"Anthracnose causes brown spots on leaves and stems. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected parts.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/anthracnose-weigela.jpg
169,Weigela : Healthy,"Weigelas need well-drained soil, full sun to partial shade, and regular pruning after flowering.","Weigelas produce trumpet-shaped flowers.
They come in many colors.
They attract pollinators.
They're versatile in landscaping.
They make great hedges.
They're cold hardy.
They're easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/weigela-plant.jpg
170,Spirea : Fire Blight,"Fire blight causes sudden wilting and blackening of branches. The disease can spread quickly.","Prune out infected branches.
Improve air circulation.
Avoid overhead watering.
Apply bactericides when necessary.
Maintain proper spacing.
Plant resistant varieties.
Clean up fallen leaves.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/fire-blight-spirea.jpg
171,Spirea : Healthy,"Spireas need well-drained soil, full sun, and regular pruning after flowering.","Spireas produce clusters of flowers.
They come in many varieties.
They attract pollinators.
They're versatile in landscaping.
They make great hedges.
They're cold hardy.
They're easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/spirea-plant.jpg
172,Deutzia : Leaf Spot,"Leaf spot appears as brown spots with yellow halos on leaves. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-deutzia.jpg
173,Deutzia : Healthy,"Deutzias need well-drained soil, full sun to partial shade, and regular pruning after flowering.","Deutzias produce clusters of flowers.
They come in many varieties.
They attract pollinators.
They're versatile in landscaping.
They make great hedges.
They're cold hardy.
They're easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/deutzia-plant.jpg
174,Kerria : Leaf Blight,"Leaf blight causes brown spots and wilting of leaves. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-blight-kerria.jpg
175,Kerria : Healthy,"Kerria needs well-drained soil, partial shade, and regular pruning after flowering.","Kerria produces yellow spring flowers.
It has arching stems.
It attracts pollinators.
It's versatile in landscaping.
It makes great hedges.
It's cold hardy.
It's easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/kerria-plant.jpg
176,Buddleja : Leaf Spot,"Leaf spot appears as brown spots with yellow halos on leaves. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-buddleja.jpg
177,Buddleja : Healthy,"Buddleja needs well-drained soil, full sun, and regular pruning in spring.","Buddleja produces fragrant flowers.
It attracts butterflies.
It comes in many colors.
It's drought tolerant.
It's versatile in landscaping.
It makes great hedges.
It's easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/buddleja-plant.jpg
178,Ceanothus : Powdery Mildew,"Powdery mildew appears as white, powdery spots on leaves. The disease can cause distorted growth.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-ceanothus.jpg
179,Ceanothus : Healthy,"Ceanothus needs well-drained soil, full sun, and minimal pruning.","Ceanothus produces blue flowers.
It's drought tolerant.
It attracts pollinators.
It's versatile in landscaping.
It makes great ground cover.
It's native to California.
It's easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/ceanothus-plant.jpg
180,Deutzia : Anthracnose,"Anthracnose causes brown spots on leaves and stems. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected parts.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/anthracnose-deutzia.jpg
181,Deutzia : Healthy,"Deutzias need well-drained soil, full sun to partial shade, and regular pruning after flowering.","Deutzias produce clusters of flowers.
They come in many varieties.
They attract pollinators.
They're versatile in landscaping.
They make great hedges.
They're cold hardy.
They're easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/deutzia-plant.jpg
182,Elaeagnus : Leaf Spot,"Leaf spot appears as brown spots with yellow halos on leaves. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-elaeagnus.jpg
183,Elaeagnus : Healthy,"Elaeagnus needs well-drained soil, full sun to partial shade, and minimal pruning.","Elaeagnus produces fragrant flowers.
It's drought tolerant.
It attracts pollinators.
It's versatile in landscaping.
It makes great hedges.
It's cold hardy.
It's easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/elaeagnus-plant.jpg
184,Euonymus : Powdery Mildew,"Powdery mildew appears as white, powdery spots on leaves. The disease can cause distorted growth.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-euonymus.jpg
185,Euonymus : Healthy,"Euonymus needs well-drained soil, full sun to partial shade, and regular pruning.","Euonymus produces colorful foliage.
It comes in many varieties.
It's versatile in landscaping.
It makes great hedges.
It's cold hardy.
It's easy to grow.
It has fall color.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/euonymus-plant.jpg
186,Forsythia : Dieback,"Dieback causes sudden wilting and death of branches. The disease can spread quickly.","Prune out infected branches.
Improve air circulation.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Plant resistant varieties.
Clean up fallen leaves.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/dieback-forsythia.jpg
187,Forsythia : Healthy,"Forsythias need well-drained soil, full sun, and regular pruning after flowering.","Forsythias produce yellow spring flowers.
They're early bloomers.
They attract pollinators.
They're versatile in landscaping.
They make great hedges.
They're cold hardy.
They're easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/forsythia-plant.jpg
188,Hamamelis : Leaf Spot,"Leaf spot appears as brown spots with yellow halos on leaves. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-hamamelis.jpg
189,Hamamelis : Healthy,"Hamamelis needs well-drained soil, partial shade, and minimal pruning.","Hamamelis produces fragrant winter flowers.
It has fall color.
It attracts pollinators.
It's versatile in landscaping.
It makes great specimen plants.
It's cold hardy.
It's easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/hamamelis-plant.jpg
190,Ilex : Leaf Spot,"Leaf spot appears as brown spots with yellow halos on leaves. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-ilex.jpg
191,Ilex : Healthy,"Ilex needs well-drained soil, full sun to partial shade, and minimal pruning.","Ilex produces berries.
It comes in many varieties.
It's versatile in landscaping.
It makes great hedges.
It's cold hardy.
It's easy to grow.
It has year-round interest.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/ilex-plant.jpg
192,Kalmia : Leaf Spot,"Leaf spot appears as brown spots with yellow halos on leaves. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-kalmia.jpg
193,Kalmia : Healthy,"Kalmia needs acidic soil, partial shade, and minimal pruning.","Kalmia produces clusters of flowers.
It comes in many colors.
It attracts pollinators.
It's versatile in landscaping.
It makes great foundation plants.
It's cold hardy.
It's easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/kalmia-plant.jpg
194,Kerria : Anthracnose,"Anthracnose causes brown spots on leaves and stems. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected parts.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/anthracnose-kerria.jpg
195,Kerria : Healthy,"Kerria needs well-drained soil, partial shade, and regular pruning after flowering.","Kerria produces yellow spring flowers.
It has arching stems.
It attracts pollinators.
It's versatile in landscaping.
It makes great hedges.
It's cold hardy.
It's easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/kerria-plant.jpg
196,Kolkwitzia : Leaf Spot,"Leaf spot appears as brown spots with yellow halos on leaves. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-kolkwitzia.jpg
197,Kolkwitzia : Healthy,"Kolkwitzia needs well-drained soil, full sun to partial shade, and regular pruning after flowering.","Kolkwitzia produces pink spring flowers.
It has arching stems.
It attracts pollinators.
It's versatile in landscaping.
It makes great hedges.
It's cold hardy.
It's easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/kolkwitzia-plant.jpg
198,Ligustrum : Leaf Spot,"Leaf spot appears as brown spots with yellow halos on leaves. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-ligustrum.jpg
199,Ligustrum : Healthy,"Ligustrum needs well-drained soil, full sun to partial shade, and regular pruning.","Ligustrum produces white flowers.
It comes in many varieties.
It's versatile in landscaping.
It makes great hedges.
It's cold hardy.
It's easy to grow.
It has year-round interest.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/ligustrum-plant.jpg
200,Lonicera : Powdery Mildew,"Powdery mildew appears as white, powdery spots on leaves. The disease can cause distorted growth.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-lonicera.jpg
201,Lonicera : Healthy,"Lonicera needs well-drained soil, full sun to partial shade, and regular pruning.","Lonicera produces fragrant flowers.
It comes in many varieties.
It attracts pollinators.
It's versatile in landscaping.
It makes great hedges.
It's cold hardy.
It's easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/lonicera-plant.jpg
202,Philadelphus : Leaf Spot,"Leaf spot appears as brown spots with yellow halos on leaves. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-philadelphus.jpg
203,Philadelphus : Healthy,"Philadelphus needs well-drained soil, full sun to partial shade, and regular pruning after flowering.","Philadelphus produces fragrant flowers.
It comes in many varieties.
It attracts pollinators.
It's versatile in landscaping.
It makes great hedges.
It's cold hardy.
It's easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/philadelphus-plant.jpg
204,Physocarpus : Leaf Spot,"Leaf spot appears as brown spots with yellow halos on leaves. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-physocarpus.jpg
205,Physocarpus : Healthy,"Physocarpus needs well-drained soil, full sun to partial shade, and regular pruning.","Physocarpus produces clusters of flowers.
It comes in many varieties.
It attracts pollinators.
It's versatile in landscaping.
It makes great hedges.
It's cold hardy.
It's easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/physocarpus-plant.jpg
206,Pieris : Leaf Spot,"Leaf spot appears as brown spots with yellow halos on leaves. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-pieris.jpg
207,Pieris : Healthy,"Pieris needs acidic soil, partial shade, and minimal pruning.","Pieris produces clusters of flowers.
It comes in many varieties.
It attracts pollinators.
It's versatile in landscaping.
It makes great foundation plants.
It's cold hardy.
It's easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/pieris-plant.jpg
208,Potentilla : Powdery Mildew,"Powdery mildew appears as white, powdery spots on leaves. The disease can cause distorted growth.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-potentilla.jpg
209,Potentilla : Healthy,"Potentilla needs well-drained soil, full sun, and regular pruning.","Potentilla produces yellow flowers.
It comes in many varieties.
It attracts pollinators.
It's versatile in landscaping.
It makes great ground cover.
It's cold hardy.
It's easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/potentilla-plant.jpg
210,Prunus : Leaf Spot,"Leaf spot appears as brown spots with yellow halos on leaves. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-prunus.jpg
211,Prunus : Healthy,"Prunus needs well-drained soil, full sun, and regular pruning.","Prunus produces spring flowers.
It comes in many varieties.
It attracts pollinators.
It's versatile in landscaping.
It makes great specimen plants.
It's cold hardy.
It's easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/prunus-plant.jpg
212,Rhododendron : Leaf Spot,"Leaf spot appears as brown spots with yellow halos on leaves. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-rhododendron.jpg
213,Rhododendron : Healthy,"Rhododendron needs acidic soil, partial shade, and minimal pruning.","Rhododendron produces clusters of flowers.
It comes in many colors.
It attracts pollinators.
It's versatile in landscaping.
It makes great foundation plants.
It's cold hardy.
It's easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/rhododendron-plant.jpg
214,Ribes : Powdery Mildew,"Powdery mildew appears as white, powdery spots on leaves. The disease can cause distorted growth.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-ribes.jpg
215,Ribes : Healthy,"Ribes needs well-drained soil, full sun to partial shade, and regular pruning.","Ribes produces clusters of flowers.
It comes in many varieties.
It attracts pollinators.
It's versatile in landscaping.
It makes great hedges.
It's cold hardy.
It's easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/ribes-plant.jpg
216,Rosa : Black Spot,"Black spot appears as black spots with yellow halos on leaves. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/black-spot-rosa.jpg
217,Rosa : Healthy,"Rosa needs well-drained soil, full sun, and regular pruning.","Rosa produces fragrant flowers.
It comes in many colors.
It attracts pollinators.
It's versatile in landscaping.
It makes great cut flowers.
It's cold hardy.
It's easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/rosa-plant.jpg
218,Salix : Leaf Spot,"Leaf spot appears as brown spots with yellow halos on leaves. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-salix.jpg
219,Salix : Healthy,"Salix needs moist soil, full sun, and regular pruning.","Salix produces catkins.
It comes in many varieties.
It attracts pollinators.
It's versatile in landscaping.
It makes great specimen plants.
It's cold hardy.
It's easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/salix-plant.jpg
220,Sambucus : Leaf Spot,"Leaf spot appears as brown spots with yellow halos on leaves. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-sambucus.jpg
221,Sambucus : Healthy,"Sambucus needs well-drained soil, full sun to partial shade, and regular pruning.","Sambucus produces clusters of flowers.
It comes in many varieties.
It attracts pollinators.
It's versatile in landscaping.
It makes great hedges.
It's cold hardy.
It's easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/sambucus-plant.jpg
222,Sorbaria : Leaf Spot,"Leaf spot appears as brown spots with yellow halos on leaves. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-sorbaria.jpg
223,Sorbaria : Healthy,"Sorbaria needs well-drained soil, full sun to partial shade, and regular pruning.","Sorbaria produces clusters of flowers.
It comes in many varieties.
It attracts pollinators.
It's versatile in landscaping.
It makes great hedges.
It's cold hardy.
It's easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/sorbaria-plant.jpg
224,Spiraea : Leaf Spot,"Leaf spot appears as brown spots with yellow halos on leaves. The disease can cause defoliation.","Improve air circulation.
Remove and destroy infected leaves.
Avoid overhead watering.
Apply fungicides when necessary.
Maintain proper spacing.
Prune for better air flow.
Plant resistant varieties.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/leaf-spot-spiraea.jpg
225,Spiraea : Healthy,"Spiraea needs well-drained soil, full sun, and regular pruning after flowering.","Spiraea produces clusters of flowers.
It comes in many varieties.
It attracts pollinators.
It's versatile in landscaping.
It makes great hedges.
It's cold hardy.
It's easy to grow.",https://www.gardeningknowhow.com/wp-content/uploads/2019/04/spiraea-plant.jpg
